year,country,region,scenario,capacity_gwe,capacity_factor,estimated_generation_twh,nuclear_share_estimate,smr_capacity_gwe,geniv_capacity_gwe,large_reactor_capacity_gwe,source_name
2030,Hungary,Europe,Conservative,1.884,0.86,14.19,33.01,0.0,0.0,1.884,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Hungary,Europe,Base,1.884,0.86,14.19,33.01,0.0,0.0,1.884,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Hungary,Europe,Accelerated,1.884,0.86,14.19,33.01,0.0,0.0,1.884,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Hungary,Europe,Conservative,2.73,0.86,20.56,47.82,0.0,0.0,2.73,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Hungary,Europe,Base,3.037,0.86,22.88,53.21,0.0,0.0,3.037,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Hungary,Europe,Accelerated,3.344,0.86,25.2,58.59,0.0,0.0,3.344,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Hungary,Europe,Conservative,2.73,0.86,20.56,47.82,0.0,0.0,2.73,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Hungary,Europe,Base,3.037,0.86,22.88,53.21,0.0,0.0,3.037,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Hungary,Europe,Accelerated,3.344,0.86,25.2,58.59,0.0,0.0,3.344,Scenario engine using processed reactor pipeline and sample/ingested context
2030,India,Asia,Conservative,8.377,0.86,63.11,3.32,0.0,0.275,8.102,Scenario engine using processed reactor pipeline and sample/ingested context
2030,India,Asia,Base,9.054,0.86,68.21,3.59,0.0,0.375,8.679,Scenario engine using processed reactor pipeline and sample/ingested context
2030,India,Asia,Accelerated,9.73,0.86,73.3,3.86,0.0,0.475,9.255,Scenario engine using processed reactor pipeline and sample/ingested context
2040,India,Asia,Conservative,8.377,0.86,63.11,3.32,0.0,0.275,8.102,Scenario engine using processed reactor pipeline and sample/ingested context
2040,India,Asia,Base,9.054,0.86,68.21,3.59,0.0,0.375,8.679,Scenario engine using processed reactor pipeline and sample/ingested context
2040,India,Asia,Accelerated,9.73,0.86,73.3,3.86,0.0,0.475,9.255,Scenario engine using processed reactor pipeline and sample/ingested context
2050,India,Asia,Conservative,8.377,0.86,63.11,3.32,0.0,0.275,8.102,Scenario engine using processed reactor pipeline and sample/ingested context
2050,India,Asia,Base,9.054,0.86,68.21,3.59,0.0,0.375,8.679,Scenario engine using processed reactor pipeline and sample/ingested context
2050,India,Asia,Accelerated,9.73,0.86,73.3,3.86,0.0,0.475,9.255,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Japan,Asia,Conservative,9.806,0.86,73.87,7.54,0.0,0.0,9.806,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Japan,Asia,Base,9.806,0.86,73.87,7.54,0.0,0.0,9.806,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Japan,Asia,Accelerated,9.806,0.86,73.87,7.54,0.0,0.0,9.806,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Japan,Asia,Conservative,9.806,0.86,73.87,7.54,0.0,0.0,9.806,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Japan,Asia,Base,9.806,0.86,73.87,7.54,0.0,0.0,9.806,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Japan,Asia,Accelerated,9.806,0.86,73.87,7.54,0.0,0.0,9.806,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Japan,Asia,Conservative,9.806,0.86,73.87,7.54,0.0,0.0,9.806,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Japan,Asia,Base,9.806,0.86,73.87,7.54,0.0,0.0,9.806,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Japan,Asia,Accelerated,9.806,0.86,73.87,7.54,0.0,0.0,9.806,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Mexico,Latin America,Conservative,1.354,0.86,10.2,3.29,0.0,0.0,1.354,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Mexico,Latin America,Base,1.354,0.86,10.2,3.29,0.0,0.0,1.354,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Mexico,Latin America,Accelerated,1.354,0.86,10.2,3.29,0.0,0.0,1.354,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Mexico,Latin America,Conservative,1.354,0.86,10.2,3.29,0.0,0.0,1.354,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Mexico,Latin America,Base,1.354,0.86,10.2,3.29,0.0,0.0,1.354,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Mexico,Latin America,Accelerated,1.354,0.86,10.2,3.29,0.0,0.0,1.354,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Mexico,Latin America,Conservative,1.354,0.86,10.2,3.29,0.0,0.0,1.354,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Mexico,Latin America,Base,1.354,0.86,10.2,3.29,0.0,0.0,1.354,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Mexico,Latin America,Accelerated,1.354,0.86,10.2,3.29,0.0,0.0,1.354,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Netherlands,Europe,Conservative,0.515,0.86,3.88,3.37,0.0,0.0,0.515,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Netherlands,Europe,Base,0.515,0.86,3.88,3.37,0.0,0.0,0.515,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Netherlands,Europe,Accelerated,0.515,0.86,3.88,3.37,0.0,0.0,0.515,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Netherlands,Europe,Conservative,0.515,0.86,3.88,3.37,0.0,0.0,0.515,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Netherlands,Europe,Base,0.515,0.86,3.88,3.37,0.0,0.0,0.515,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Netherlands,Europe,Accelerated,0.515,0.86,3.88,3.37,0.0,0.0,0.515,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Netherlands,Europe,Conservative,0.515,0.86,3.88,3.37,0.0,0.0,0.515,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Netherlands,Europe,Base,0.515,0.86,3.88,3.37,0.0,0.0,0.515,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Netherlands,Europe,Accelerated,0.515,0.86,3.88,3.37,0.0,0.0,0.515,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Pakistan,Asia,Conservative,3.4,0.86,25.61,16.01,0.0,0.0,3.4,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Pakistan,Asia,Base,3.4,0.86,25.61,16.01,0.0,0.0,3.4,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Pakistan,Asia,Accelerated,3.4,0.86,25.61,16.01,0.0,0.0,3.4,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Pakistan,Asia,Conservative,3.4,0.86,25.61,16.01,0.0,0.0,3.4,Scenario engine using processed reactor pipeline and sample/ingested context
